cik,cusip6,cusip8
851205.0,192422,19242210
1049480.0,258609,25860930
101830.0,852061,85206150
889900.0,703414,70341410
225263.0,651824,65182410
1080099.0,45666Q,45666Q10
3333.0,013104,01310410
100726.0,904677,90467710
1011657.0,888339,88833910
1032033.0,78442A,78442A10
85388.0,779273,77927310
21510.0,192479,19247910
911755.0,034551,03455110
915775.0,582803,58280310
825542.0,810186,81018610
800575.0,740459,74045910
75594.0,695114,69511465
881464.0,032346,03234610
26172.0,231021,23102110
5907.0,001957,00195720
1048695.0,315616,31561610
1037461.0,05548J,05548J10
1094285.0,879360,87936010
922224.0,69349X,69349X88
1065087.0,012423,01242310
27904.0,247361,24736110
910322.0,046265,04626510
884905.0,74005P,74005P10
927066.0,89151A,89151A10
319687.0,210795,21079530
1085061.0,282056,28205610
54502.0,482620,48262010
1021061.0,591598,59159810
945676.0,461156,46115610
1010724.0,917327,91732710
1070985.0,74264N,74264N10
910631.0,191241,19124110
936468.0,539830,53983010
826918.0,628351,62835110
933036.0,76009N,76009N10
914384.0,235774,23577410
719529.0,452528,45252810
873303.0,637184,63718410
1079451.0,827094,82709410
948545.0,874264,87426410
798757.0,281667,28166710
884731.0,04033A,04033A10
1011449.0,864444,86444410
353944.0,000625,000625
906113.0,493596,49359610
1018963.0,01741R,01741R10
880208.0,78387P,78387P10
1052837.0,00339B,00339B10
1045986.0,346414,34641410
1018963.0,017415,01741510
1090445.0,437606,43760610
853816.0,515098,51509810
726958.0,147528,14752810
899866.0,015351,01535110
6885.0,85254C,85254C10
350621.0,125010,12501010
1081255.0,94274R,94274R10
893949.0,705324,70532410
1076405.0,713409,71340910
913443.0,131910,13191010
1061881.0,762875,76287510
87777.0,808655,80865510
893160.0,92276H,92276H10
40493.0,41163G,41163G10
792985.0,421933,42193310
878720.0,766574,76657420
764762.0,543162,54316210
935226.0,082047,08204720
1043431.0,086579,08657910
913885.0,89674K,89674K10
42542.0,382388,38238810
72333.0,655664,65566410
83612.0,76182K,76182K10
1095099.0,N5665B,N5665B10
1002811.0,490057,49005710
1056874.0,912080,91208010
1052100.0,930059,93005910
897429.0,168615,16861510
1080357.0,928615,92861510
6201.0,001765,00176510
1070518.0,45662S,45662S10
1046112.0,10553F,10553F10
38984.0,357288,35728810
745379.0,488539,48853910
1042825.0,739308,73930810
1086472.0,64108N,64108N10
1032204.0,416592,41659210
895364.0,263578,26357810
216374.0,413875,41387510
1041657.0,75040P,75040P10
69598.0,629853,62985310
1050446.0,264875,264875
27500.0,242361,24236110
20388.0,125577,12557710
729922.0,682305,68230510
10795.0,075887,07588710
55080.0,488044,48804410
704051.0,350404,35040410
922285.0,373692,37369210
800460.0,130439,13043910
1027881.0,459655,45965510
1029506.0,751028,75102810
1027443.0,555904,55590410
944163.0,00941P,00941P10
741114.0,45812J,45812J10
935001.0,403908,40390810
1087831.0,746144,74614410
1024725.0,88037E,88037E10
1050446.0,594972,59497210
54050.0,481088,48108810
352947.0,292845,29284510
884461.0,51828C,51828C10
1007993.0,M6777Q,M6777Q10
756764.0,495667,49566710
922321.0,14743R,14743R10
1021810.0,45814T,45814T10
83588.0,761695,76169510
855109.0,300615,30061510
1059556.0,26483B,26483B10
1063085.0,149016,14901610
1069845.0,708046,70804610
1013787.0,054527,05452720
935724.0,69344M,69344M10
773468.0,456607,45660710
1093367.0,029328,02932810
1035881.0,370120,37012010
1093082.0,448451,44845110
1040660.0,038197,03819710
1065049.0,521863,52186310
832988.0,82668L,82668L87
1023128.0,536797,53679710
1019737.0,63935N,63935N10
1042282.0,827907,82790710
801351.0,934390,93439010
1058290.0,192446,19244610
1073431.0,46185R,46185R10
850209.0,922944,92294410
1035267.0,46120E,46120E10
1037868.0,031100,03110010
851968.0,608190,60819010
316300.0,269279,26927920
2488.0,007903,00790310
896778.0,206016,20601610
783005.0,291525,29152510
877273.0,921930,92193010
1055355.0,83568G,83568G10
934741.0,784076,78407610
776867.0,925391,92539151
949341.0,162813,16281310
9466.0,059165,05916569
105189.0,947423,94742310
87744.0,783890,78389010
1035002.0,91913Y,91913Y10
1093434.0,00808V,00808V10
886235.0,045235,04523510
54883.0,486665,48666510
842635.0,552078,55207810
875570.0,712713,71271310
1045309.0,38388F,38388F10
46619.0,422806,42280620
37748.0,343861,34386110
41077.0,373298,37329810
98222.0,886423,88642310
1005414.0,892335,89233510
25890.0,228255,22825510
